locationid,Applicant,cnn,Address
1513364,Brazuca Grill,226201,6000 03RD ST
1495114,"Off the Grid Services, LLC",3080000,525 BRANNAN ST
1513029,"San Francisco Street Foods, Inc.",30735000,2 MONTGOMERY ST
1515854,Philz Coffee Truck,9306000,735 MONTGOMERY ST
1543850,Truly Food & More,107000,505 HOWARD ST
1524389,Flavors of Africa,9090000,560 MISSION ST
1513378,Brazuca Grill,8717000,1040 MARIPOSA ST
1535610,Wu Wei LLC dba MoBowl,7033000,500 HOWARD ST
1515851,Philz Coffee Truck,12323000,556 SUTTER ST
1516944,Eva's Catering,10006000,1100 ORTEGA ST
1534179,Street Meet,8121000,100 LARKIN ST
1513369,Brazuca Grill,4907000,1347 DONNER AVE
1513347,Brazuca Grill,10337002,1082 PENNSYLVANIA AVE
1513350,Brazuca Grill,11833000,131 SHOTWELL ST
1512230,"Chairman SF, LLC",5169000,34 ELLIS ST
1516950,Eva's Catering,5340000,2045 EVANS AVE
1495086,"Off the Grid Services, LLC",3143000,90 BROADWAY
1488685,El Alambre,11832000,1800 FOLSOM ST
1522420,"Halal Cart, LLC",9301000,400 MONTGOMERY ST
1535608,Wu Wei LLC dba MoBowl,4972000,253 DRUMM ST
1513033,"San Francisco Street Foods, Inc.",10625000,100 POST ST
1514028,F & C Catering,193201,2890 03RD ST
1513372,Brazuca Grill,5687000,1750 FOLSOM ST
1513345,Brazuca Grill,10332000,208 PENNSYLVANIA AVE
1516943,Eva's Catering,7236000,2600 INGALLS ST
1513083,Curry Up Now,24571000,370 DRUMM ST
1513355,Brazuca Grill,12544000,640 TEXAS ST
1515852,Philz Coffee Truck,3528000,401 CALIFORNIA ST
1515717,Treats by the Bay LLC,8737101,1 MARKET ST
1513344,Brazuca Grill,10048000,150 OTIS ST
1543852,Truly Food & More,9092000,602 MISSION ST
1516945,Eva's Catering,10006000,1900 19TH AVE
1513357,Brazuca Grill,1500000,1090 26TH ST
1516947,Eva's Catering,1009000,1650 20TH AVE
1524385,Leo's Hot Dogs,9121000,2301 MISSION ST
1513346,Brazuca Grill,10336000,700 PENNSYLVANIA AVE
1524387,Flavors of Africa,7032000,405 HOWARD ST
1515709,Zuri Food Facilities,12045000,100 SPEAR ST
1512229,"Chairman SF, LLC",3528000,400 CALIFORNIA ST
1514024,F & C Catering,0,Assessors Block /Lot
1513351,Brazuca Grill,1232000,601 23RD ST
1515708,Zuri Food Facilities,3529000,475 CALIFORNIA ST
1524388,Flavors of Africa,9090000,555 MISSION ST
1522421,"Halal Cart, LLC",8741101,455 MARKET ST
1514030,F & C Catering,9056000,900 MINNESOTA ST
1514027,F & C Catering,1403000,700 25TH ST
1513361,Brazuca Grill,196000,3150 03RD ST
1513379,Brazuca Grill,8754101,1411 MARKET ST
1529951,Bonito Poke,7165000,409 ILLINOIS ST
1513032,"San Francisco Street Foods, Inc.",30049000,5 THE EMBARCADERO
1522419,"Halal Cart, LLC",8737101,1 MARKET ST
1515859,Curry Up Now,11553000,727 SANSOME ST
1513370,Brazuca Grill,5070000,1346 EDDY ST
1514025,F & C Catering,10336000,898 PENNSYLVANIA AVE
1513371,Brazuca Grill,5204000,368 ELM ST
1522410,Faith Sandwich,8627000,58 MAIN ST
1513380,Brazuca Grill,9061000,1400 MINNESOTA ST
1513084,Curry Up Now,3422000,225 BUSH ST
1529948,Bonito Poke,107000,505 HOWARD ST
1516949,Eva's Catering,3081000,630 BRANNAN ST
1513367,Brazuca Grill,3736000,1420 CARROLL AVE
1549614,Roadside Rotisserie Corporation / Country Grill,3419000,1 BUSH ST
1534180,Street Meet,9053000,777 MARIPOSA ST
1515119,Tacos El Flaco,194101,2901 03RD ST
1535607,Wu Wei LLC dba MoBowl,13403000,370 DRUMM ST
1513031,"San Francisco Street Foods, Inc.",7038000,701 HOWARD ST
1509791,Plaza Garibaldy,9297000,1 MONTGOMERY ST
1509790,Plaza Garibaldy,7033000,540 HOWARD ST
1495092,"Off the Grid Services, LLC",254000,250 04TH ST
1513365,Brazuca Grill,2458000,1315 ARMSTRONG AVE
1513349,Brazuca Grill,11826000,133 SHIPLEY ST
1576240,Natan's Catering,8954000,151 MENDELL ST
1576374,San Francisco's Hometown Creamery,10624001,1 MONTGOMERY ST
1576232,Natan's Catering,6759001,3040 HARRISON ST
1576205,Natan's Catering,0,Assessors Block 8722/Lot003
1576215,Natan's Catering,10658000,66 POTRERO AVE
1576237,Natan's Catering,7727000,350 KANSAS ST
1576234,Natan's Catering,7164000,Assessors Block 8722/Lot001
1576224,Natan's Catering,2157202,400 ALEMANY BLVD
1576211,Natan's Catering,0,Assessors Block 5369/Lot003
1576220,Natan's Catering,1507000,Assessors Block 4281a/Lot012A
1576235,Natan's Catering,7166000,Assessors Block 3941/Lot001
1576207,Natan's Catering,0,Assessors Block 7295/Lot022
1576225,Natan's Catering,2468000,Assessors Block 4315/Lot03008
1576231,Natan's Catering,6721000,950 HARRISON ST
1345312,Shah's Halal Food,8742202,532 MARKET ST
955616,Tacos Santo Toribio,12628000,928 TOLAND ST
1367290,Star Taco,7034000,580 HOWARD ST
1336732,Quan Catering,194201,2920 03RD ST
1334819,tacos y pupusas los trinos,9158000,4384 MISSION ST
1336028,Paradise Catering,5680000,1398 FOLSOM ST
934518,Scotch Bonnet,11543000,115 SANSOME ST
934595,May Catering,5690000,2000 FOLSOM ST
1341056,Kettle Corn Star,8746103,773 MARKET ST
1336744,Quan Catering,8095000,2111 LANE ST
934601,May Catering,6751000,2301 HARRISON ST
1337439,Liang Bai Ping,13355000,1450 WALLACE AVE
934585,May Catering,13767000,620 YORK ST
934587,May Catering,699001,Assessors Block 8727/Lot005
735318,Ziaurehman Amini,30727000,5 THE EMBARCADERO
812017,SF Street Food,12320000,290 SUTTER ST
1336041,Paradise Catering,9101000,1119 MISSION ST
1336678,Mike's Catering,15024000,Assessors Block 8720/Lot009
1416733,"Off the Grid Services, LLC",11542000,1 BUSH ST
1344202,"Bay Area Dots, LLC",2846000,900 BEACH ST
934600,May Catering,193201,2800 03RD ST
1336017,Paradise Catering,185104,1455 03RD ST
1336032,Paradise Catering,6354000,65 GRACE ST
934582,May Catering,1259000,3000 23RD ST
1337428,Liang Bai Ping,10972000,1145 REVERE AVE
1366269,Golden Gate Halal Food,8751101,1169 MARKET ST
1336685,Mike's Catering,7200000,1575 INDIANA ST
1337353,Tacos Rodriguez,11542000,1 SANSOME ST
1336775,Golden Catering,4494000,601 CRESCENT AVE
934604,May Catering,9503000,Assessors Block 4347a/Lot004
1265606,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",10628000,384 POST ST
1336674,Mike's Catering,12068000,Assessors Block 3788/Lot002
1527317,"BOWL'D ACAI, LLC.",9698000,15 MARINA BLVD
1334599,Tacos El Ojo De Agua,177000,551 03RD ST
453013,Tacos Santana,7498000,1700 JERROLD AVE
1337431,Liang Bai Ping,11782000,1127 SHAFTER AVE
1332938,Mini Mobile Food Catering,2956003,420 BERRY ST
1336036,Paradise Catering,7051000,1252 HOWARD ST
1336739,Quan Catering,3083000,722 BRANNAN ST
1336731,Quan Catering,15086000,3305 03RD ST
1336033,Paradise Catering,6699000,15 HARRIET ST
934579,May Catering,1631000,210 29TH ST
1336029,Paradise Catering,5802000,300 FRANKLIN ST
934606,May Catering,1259000,3050 23RD ST
934618,May Catering,9086000,350 MISSION ST
1526959,Kid Abelha - Brazilian Hamburgers,9504000,Assessors Block /Lot
755221,Fruteria Serrano,9167000,4650 MISSION ST
848185,Reecees Soulicious,211101,4705 03RD ST
934615,May Catering,517000,1300 BRYANT ST
848080,Taqueria Lolita,10927000,1700 EVANS AVE
1010174,Julie's Hot Dogs,9121000,2386 MISSION ST
1265597,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",10628000,Assessors Block /Lot
627558,"Off the Grid Services, LLC",4609000,Assessors Block /Lot
1336038,Paradise Catering,9049000,786 MINNA ST
1337442,Liang Bai Ping,13780000,1420 YOSEMITE AVE
1548490,MOMO INNOVATION LLC,3527000,351 CALIFORNIA ST
1337450,Liang Bai Ping,5452000,1377 FELL ST
1336730,Quan Catering,135000,222 02ND ST
1336042,Paradise Catering,9101000,1131 MISSION ST
1332937,Mini Mobile Food Catering,2955000,355 BERRY ST
1336030,Paradise Catering,5805000,301 VAN NESS AVE
1336676,Mike's Catering,12532003,Assessors Block 8722/Lot005
364218,The Chai Cart,9543000,79 NEW MONTGOMERY ST
1544289,Cochinita,358000,1219 07TH AVE
931093,Swell Cream & Coffee,12412000,2401 36TH AVE
1336736,Quan Catering,2476000,2190 CESAR CHAVEZ ST
1511641,Lerso,9108000,1450 MISSION ST
1337430,Liang Bai Ping,10972000,1135 REVERE AVE
1336679,Mike's Catering,2477000,2323 CESAR CHAVEZ ST
1552756,Corazon Maya,9117000,2109 MISSION ST
1336040,Paradise Catering,9100000,1045 MISSION ST
934612,May Catering,13693000,166 WISCONSIN ST
934594,May Catering,13768000,720 YORK ST
934591,May Catering,13766000,501 YORK ST
997504,Munch India,10624001,Assessors Block /Lot
1337429,Liang Bai Ping,10972000,1160 REVERE AVE
1341238,Halal Cart of San Francisco,3529000,400 MONTGOMERY ST
1336031,Paradise Catering,6116000,855 GEARY ST
1332944,Mini Mobile Food Catering,6710000,355 FREMONT ST
1544285,Cochinita,142000,501 02ND ST
1337455,Liang Bai Ping,7479000,2115 JENNINGS ST
1552372,Breakfast Embed,108001,234 01ST ST
